Date,Amount,Account Number,,Transaction Type,Transaction Details,Category,Merchant Name,Processed On
28 May 26,-16.01,512847391,,EFTPOS DEBIT,V8213 28/05 LUNE CROISSANTERIE FITZROY 19115772592,Cafe & coffee,,28 May 26
28 May 26,-39.09,512847391,,MISCELLANEOUS DEBIT,V8213 28/05 MENULOG SYDNEY 74983695864,Restaurants,Menulog,28 May 26
28 May 26,-95.3,512847391,,EFTPOS DEBIT,V8213 28/05 JB HI-FI CHADSTONE 35782752391,Other shopping,Jb Hi-fi,29 May 26
27 May 26,-65.15,512847391,,EFTPOS DEBIT,V8213 27/05 COTTON ON CHADSTONE 96654039136,Clothing & accessories,Cotton On,28 May 26
26 May 26,-313.43,512847391,,EFTPOS DEBIT,V8213 26/05 JB HI-FI CHADSTONE 57115124484,Other shopping,Jb Hi-fi,26 May 26
26 May 26,-63.6,512847391,,MISCELLANEOUS DEBIT,V8213 26/05 MENULOG SYDNEY 35587433039,Restaurants,Menulog,26 May 26
26 May 26,-46.25,512847391,,EFTPOS DEBIT,V8213 26/05 BARBER LANE WINDSOR 11205088253,Personal care,Barber Lane,26 May 26
25 May 26,-57.25,512847391,,MISCELLANEOUS DEBIT,V8213 25/05 MENULOG SYDNEY 32018955046,Restaurants,Menulog,27 May 26
25 May 26,-100.91,512847391,,EFTPOS DEBIT,V8213 25/05 WOOLWORTHS 1234 CARNEGIE 71940246118,Groceries,Woolworths,26 May 26
25 May 26,-134.75,512847391,,EFTPOS DEBIT,V8213 25/05 CHIN CHIN MELBOURNE 88654854771,Restaurants,Chin Chin,25 May 26
24 May 26,-12.14,512847391,,EFTPOS DEBIT,V8213 24/05 LUNE CROISSANTERIE FITZROY 75136424592,Cafe & coffee,Lune Croissanterie,24 May 26
24 May 26,-63.36,512847391,,EFTPOS DEBIT,V8213 24/05 DAN MURPHYS GLEN IRIS 52519075720,Alcohol,Dan Murphys,26 May 26
24 May 26,-147.61,512847391,,AUTOMATIC DRAWING,ORIGIN ENERGY 39442534724,Uncategorised,Origin Energy,26 May 26
23 May 26,-5.07,512847391,,EFTPOS DEBIT,V8213 23/05 COKE VENDING MACHINE MELBOURNE 52557669682,Uncategorised,,23 May 26
22 May 26,-59.68,512847391,,EFTPOS DEBIT,V8213 22/05 BP CONNECT CHADSTONE 83191007835,Fuel,Bp Connect,23 May 26
21 May 26,-55.32,512847391,,EFTPOS DEBIT,V8213 21/05 MALVERN MEDICAL CTR MALVERN 71487365110,Medical,Malvern Medical Ctr,22 May 26
21 May 26,-27.82,512847391,,EFTPOS DEBIT,V8213 21/05 LUNE CROISSANTERIE FITZROY 23636039101,Cafe & coffee,Lune Croissanterie,21 May 26
21 May 26,-400.0,512847391,,TRANSFER DEBIT,Internet Transfer To K MITCHELL 84594268139,Transfers out,,23 May 26
21 May 26,-29.99,512847391,,AUTOMATIC DRAWING,ADOBE CREATIVE CLOUD 79647585247,Subscriptions,Adobe Creative Cloud,22 May 26
20 May 26,-393.95,512847391,,AUTOMATIC DRAWING,RACV INSURANCE 73950313527,Uncategorised,Racv Insurance,22 May 26
20 May 26,-5.14,512847391,,EFTPOS DEBIT,V8213 20/05 KOORNANG RD MILK BAR CARNEGIE 65715213258,Groceries,Koornang Rd Milk Bar,20 May 26
20 May 26,-159.68,512847391,,EFTPOS DEBIT,V8213 20/05 COLES SUPERMARKET MALVERN EAST 21351836898,Groceries,Coles Supermarket,20 May 26
19 May 26,-9.99,512847391,,EFTPOS DEBIT,V8213 19/05 KOORNANG RD MILK BAR CARNEGIE 48604114875,Groceries,Koornang Rd Milk Bar,19 May 26
18 May 26,-16.66,512847391,,EFTPOS DEBIT,V8213 18/05 WILSON PARKING MELBOURNE 92152678702,Transport,,18 May 26
18 May 26,-65.0,512847391,,AUTOMATIC DRAWING,TELSTRA CORPORATION 57819312029,Uncategorised,Telstra Corporation,18 May 26
18 May 26,-134.25,512847391,,EFTPOS DEBIT,V8213 18/05 UNIQLO AUSTRALIA MELBOURNE 17036033653,Clothing & accessories,Uniqlo Australia,19 May 26
17 May 26,-184.1,512847391,,EFTPOS DEBIT,V8213 17/05 LORT SMITH VET NORTH MELBOURNE 31919758426,Uncategorised,,17 May 26
17 May 26,-96.74,512847391,,EFTPOS DEBIT,V8213 17/05 PETSTOCK MOORABBIN 81291667079,Uncategorised,Petstock,17 May 26
17 May 26,-99.46,512847391,,EFTPOS DEBIT,V8213 17/05 SHELL COLES EXPRESS HAWTHORN 69884409249,Fuel,,17 May 26
17 May 26,-270.75,512847391,,EFTPOS DEBIT,V8213 17/05 SMILE DENTAL GROUP ARMADALE 16897227006,Medical,Smile Dental Group,19 May 26
16 May 26,-40.99,512847391,,EFTPOS DEBIT,V8213 16/05 KMART CHADSTONE 57151720148,Other shopping,Kmart,17 May 26
16 May 26,-96.19,512847391,,EFTPOS DEBIT,V8213 16/05 DAN MURPHYS GLEN IRIS 96453664382,Alcohol,,16 May 26
16 May 26,-43.46,512847391,,EFTPOS DEBIT,V8213 16/05 BARBER LANE WINDSOR 30429860921,Personal care,Barber Lane,17 May 26
15 May 26,-32.5,512847391,,AUTOMATIC DRAWING,ANTHROPIC CLAUDE.AI 50978558858,Subscriptions,Anthropic Claude.ai,16 May 26
14 May 26,-47.17,512847391,,EFTPOS DEBIT,V8213 14/05 BUNNINGS WAREHOUSE PORT MELBOURNE 37159837511,Other shopping,Bunnings Warehouse,15 May 26
13 May 26,-34.24,512847391,,MISCELLANEOUS DEBIT,V8213 13/05 UBER *EATS SYDNEY 64608666014,Restaurants,,15 May 26
13 May 26,-79.39,512847391,,EFTPOS DEBIT,V8213 13/05 COTTON ON CHADSTONE 39974990991,Clothing & accessories,,13 May 26
12 May 26,-9.99,512847391,,AUTOMATIC DRAWING,PRIME VIDE* PRIMEVIDEO 14220150693,Subscriptions,Prime Primevideo,13 May 26
12 May 26,-14.1,512847391,,EFTPOS DEBIT,V8213 12/05 NIGHT OWL CONVENIENCE ELSTERNWICK 62323731622,Groceries,Night Owl Convenience,12 May 26
12 May 26,-44.1,512847391,,EFTPOS DEBIT,V8213 12/05 KMART CHADSTONE 26024641182,Other shopping,Kmart,14 May 26
11 May 26,-48.54,512847391,,EFTPOS DEBIT,V8213 11/05 READINGS BOOKS CARLTON 37516377408,Uncategorised,Readings Books,12 May 26
11 May 26,-124.61,512847391,,EFTPOS DEBIT,V8213 11/05 PETSTOCK MOORABBIN 83109299292,Uncategorised,,12 May 26
10 May 26,-96.59,512847391,,EFTPOS DEBIT,V8213 10/05 SHELL COLES EXPRESS HAWTHORN 82608179745,Fuel,Shell Coles Express,10 May 26
09 May 26,-92.15,512847391,,AUTOMATIC DRAWING,AGL SALES 65429972529,Uncategorised,Agl Sales,10 May 26
09 May 26,-22.51,512847391,,MISCELLANEOUS DEBIT,V8213 09/05 DIDI MOBILITY MELBOURNE 61017847852,Transport,Didi Mobility,09 May 26
09 May 26,-95.62,512847391,,EFTPOS DEBIT,V8213 09/05 LORT SMITH VET NORTH MELBOURNE 22297526489,Uncategorised,Lort Smith Vet,09 May 26
09 May 26,-21.78,512847391,,EFTPOS DEBIT,V8213 09/05 WOOLWORTHS 1234 CARNEGIE 30874478395,Groceries,Woolworths,10 May 26
08 May 26,-59.38,512847391,,EFTPOS DEBIT,V8213 08/05 MALVERN MEDICAL CTR MALVERN 48143865070,Medical,Malvern Medical Ctr,08 May 26
08 May 26,-133.18,512847391,,EFTPOS DEBIT,V8213 08/05 WOOLWORTHS 1234 CARNEGIE 94609360580,Groceries,Woolworths,09 May 26
07 May 26,-13.13,512847391,,EFTPOS DEBIT,V8213 07/05 SEVEN SEEDS COFFEE CARLTON 36302634450,Cafe & coffee,Seven Seeds Coffee,09 May 26
07 May 26,-121.7,512847391,,EFTPOS DEBIT,V8213 07/05 PETSTOCK MOORABBIN 98707358813,Uncategorised,Petstock,07 May 26
07 May 26,-13.99,512847391,,AUTOMATIC DRAWING,SPOTIFY AUSTRALIA 54546821289,Subscriptions,Spotify Australia,07 May 26
07 May 26,-70.84,512847391,,EFTPOS DEBIT,V8213 07/05 CHEMIST WAREHOUSE OAKLEIGH 70765078236,Medical,,07 May 26
07 May 26,-40.11,512847391,,EFTPOS DEBIT,V8213 07/05 BARBER LANE WINDSOR 30429402967,Personal care,Barber Lane,09 May 26
06 May 26,-123.81,512847391,,MISCELLANEOUS DEBIT,V8213 06/05 THE ICONIC SYDNEY 99260150683,Clothing & accessories,The Iconic,07 May 26
06 May 26,-35.5,512847391,,EFTPOS DEBIT,V8213 06/05 WILSON PARKING MELBOURNE 44340678138,Transport,Wilson Parking,06 May 26
05 May 26,-358.52,512847391,,EFTPOS DEBIT,V8213 05/05 SMILE DENTAL GROUP ARMADALE 12978616849,Medical,Smile Dental Group,05 May 26
05 May 26,-5.21,512847391,,EFTPOS DEBIT,V8213 05/05 THE GRINDER CAFE PRAHRAN 43644618558,Cafe & coffee,The Grinder Cafe,05 May 26
05 May 26,-24.95,512847391,,AUTOMATIC DRAWING,GOODLIFE HEALTH CLUBS 62065560490,Gym & fitness,Goodlife Health Clubs,06 May 26
05 May 26,-57.04,512847391,,EFTPOS DEBIT,V8213 05/05 HOYTS CINEMAS CHADSTONE 48211887707,Uncategorised,Hoyts Cinemas,07 May 26
04 May 26,-70.78,512847391,,EFTPOS DEBIT,V8213 04/05 ALDI STORES OAKLEIGH 58628821625,Groceries,Aldi Stores,05 May 26
04 May 26,-91.6,512847391,,EFTPOS DEBIT,V8213 04/05 ALDI STORES OAKLEIGH 52425913651,Groceries,Aldi Stores,06 May 26
03 May 26,-42.08,512847391,,MISCELLANEOUS DEBIT,V8213 03/05 DIDI MOBILITY MELBOURNE 27207301015,Transport,Didi Mobility,05 May 26
03 May 26,-40.56,512847391,,EFTPOS DEBIT,V8213 03/05 UNIQLO AUSTRALIA MELBOURNE 32859395246,Clothing & accessories,Uniqlo Australia,03 May 26
03 May 26,-9.44,512847391,,EFTPOS DEBIT,V8213 03/05 LUNE CROISSANTERIE FITZROY 71628960885,Cafe & coffee,Lune Croissanterie,04 May 26
03 May 26,-15.26,512847391,,EFTPOS DEBIT,V8213 03/05 THE GRINDER CAFE PRAHRAN 55677001775,Cafe & coffee,The Grinder Cafe,03 May 26
03 May 26,-59.73,512847391,,EFTPOS DEBIT,V8213 03/05 CHEMIST WAREHOUSE OAKLEIGH 61791187694,Medical,Chemist Warehouse,03 May 26
03 May 26,-25.99,512847391,,AUTOMATIC DRAWING,NETFLIX.COM 81083712310,Subscriptions,Netflix.com,03 May 26
03 May 26,-56.89,512847391,,MISCELLANEOUS DEBIT,V8213 03/05 UBER *EATS SYDNEY 40238695208,Restaurants,Uber,05 May 26
02 May 26,-192.56,512847391,,AUTOMATIC DRAWING,MEDIBANK PRIVATE 35144564027,Uncategorised,Medibank Private,04 May 26
02 May 26,-188.24,512847391,,EFTPOS DEBIT,V8213 02/05 TONKA RESTAURANT MELBOURNE 99327538162,Restaurants,Tonka Restaurant,03 May 26
01 May 26,-202.19,512847391,,MISCELLANEOUS DEBIT,V8213 01/05 THE ICONIC SYDNEY 46420655314,Clothing & accessories,The Iconic,01 May 26
01 May 26,-77.89,512847391,,MISCELLANEOUS DEBIT,V8213 01/05 UBER *EATS SYDNEY 53280334152,Restaurants,,01 May 26
01 May 26,-5.0,512847391,,FEES,ACCOUNT SERVICE FEE,Fees,,02 May 26
01 May 26,-2320.53,512847391,,AUTOMATIC DRAWING,REAL ESTATE TRUST ACCT 12455486785,Uncategorised,Real Estate Trust Acct,01 May 26
29 Apr 26,-32.71,512847391,,EFTPOS DEBIT,V8213 29/04 PRICELINE PHARMACY CARNEGIE 61086687296,Personal care,,29 Apr 26
29 Apr 26,-12.33,512847391,,EFTPOS DEBIT,V8213 29/04 SEVEN SEEDS COFFEE CARLTON 50240717076,Cafe & coffee,Seven Seeds Coffee,29 Apr 26
28 Apr 26,-83.2,512847391,,EFTPOS DEBIT,V8213 28/04 OFFICEWORKS SOUTH MELBOURNE 14574978445,Other shopping,Officeworks,29 Apr 26
28 Apr 26,-100.0,512847391,,ATM DEBIT,ATM WDL CBD MELBOURNE 83224367151,Uncategorised,,28 Apr 26
27 Apr 26,-120.57,512847391,,EFTPOS DEBIT,V8213 27/04 MALVERN MEDICAL CTR MALVERN 15091952456,Medical,Malvern Medical Ctr,27 Apr 26
26 Apr 26,-5.83,512847391,,EFTPOS DEBIT,V8213 26/04 THE GRINDER CAFE PRAHRAN 15748280119,Cafe & coffee,The Grinder Cafe,26 Apr 26
26 Apr 26,-22.42,512847391,,EFTPOS DEBIT,V8213 26/04 BWS LIQUOR CAULFIELD 89599237039,Alcohol,Bws Liquor,28 Apr 26
25 Apr 26,-37.94,512847391,,EFTPOS DEBIT,V8213 25/04 READINGS BOOKS CARLTON 99107174219,Uncategorised,Readings Books,25 Apr 26
25 Apr 26,-165.55,512847391,,EFTPOS DEBIT,V8213 25/04 MALVERN MEDICAL CTR MALVERN 72364438270,Medical,Malvern Medical Ctr,25 Apr 26
25 Apr 26,-19.87,512847391,,EFTPOS DEBIT,V8213 25/04 IGA XPRESS MURRUMBEENA 31751105429,Groceries,Iga Xpress,26 Apr 26
24 Apr 26,-116.29,512847391,,EFTPOS DEBIT,V8213 24/04 COLES SUPERMARKET MALVERN EAST 79779831981,Groceries,Coles Supermarket,26 Apr 26
