id,date,amount,type,description,merchant,account,category,parent,confidence
28,2026-06-19,-19.12,EFTPOS DEBIT,V8213 19/06 LUNE CROISSANTERIE FITZROY 97169134795,Lune Croissanterie,512847391,Bakery,Groceries,1.0
29,2026-06-19,-40.58,EFTPOS DEBIT,V8213 19/06 ALDI STORES OAKLEIGH 47024088035,Aldi Stores,512847391,Supermarket,Groceries,1.0
30,2026-06-18,-65.0,AUTOMATIC DRAWING,TELSTRA CORPORATION 26503415450,Telstra Corporation,512847391,Mobile Phone,Utilities,1.0
31,2026-06-18,-30.23,MISCELLANEOUS DEBIT,V8213 18/06 DIDI MOBILITY MELBOURNE 91681549880,Didi Mobility,512847391,Taxis & Rideshare,Transport,1.0
32,2026-06-17,-18.71,EFTPOS DEBIT,V8213 17/06 SEVEN SEEDS COFFEE CARLTON 26500985386,Seven Seeds Coffee,512847391,Cafe & Coffee,Dining,1.0
33,2026-06-17,-35.25,MISCELLANEOUS DEBIT,V8213 17/06 MENULOG SYDNEY 98755778703,Menulog,512847391,Food Delivery,Dining,1.0
34,2026-06-17,-24.26,EFTPOS DEBIT,V8213 17/06 PRICELINE PHARMACY CARNEGIE 27370327674,,512847391,Grooming & Cosmetics,Personal Care,1.0
35,2026-06-16,-160.76,EFTPOS DEBIT,V8213 16/06 CHIN CHIN MELBOURNE 32674224650,,512847391,Restaurants & Takeaway,Dining,1.0
36,2026-06-16,-99.43,EFTPOS DEBIT,V8213 16/06 PETSTOCK MOORABBIN 79867681955,Petstock,512847391,Pet Supplies,Pets,0.93
37,2026-06-15,-77.62,EFTPOS DEBIT,V8213 15/06 COTTON ON CHADSTONE 65022029175,Cotton On,512847391,Clothing,Shopping,0.89
38,2026-06-15,-58.95,EFTPOS DEBIT,V8213 15/06 SHELL COLES EXPRESS HAWTHORN 96614789026,Shell Coles Express,512847391,Fuel,Car,0.95
39,2026-06-15,-32.5,AUTOMATIC DRAWING,ANTHROPIC CLAUDE.AI 60873361640,Anthropic Claude.ai,512847391,AI Tools,Subscriptions,1.0
40,2026-06-14,-106.39,EFTPOS DEBIT,V8213 14/06 DAN MURPHYS GLEN IRIS 29964641844,Dan Murphys,512847391,Liquor Store,Groceries,1.0
41,2026-06-14,-91.81,EFTPOS DEBIT,V8213 14/06 BP CONNECT CHADSTONE 51571713291,Bp Connect,512847391,Fuel,Car,0.9
42,2026-06-13,-250.0,TRANSFER DEBIT,Internet Transfer To K MITCHELL 95269080301,,512847391,External Transfers,Transfers,1.0
43,2026-06-13,-68.76,EFTPOS DEBIT,V8213 13/06 OFFICEWORKS SOUTH MELBOURNE 22304037611,Officeworks,512847391,Office Supplies,Shopping,1.0
44,2026-06-12,-322.26,EFTPOS DEBIT,V8213 12/06 JB HI-FI CHADSTONE 11518518429,Jb Hi-fi,512847391,Electronics,Shopping,1.0
45,2026-06-12,-300.0,ATM DEBIT,ATM WDL CBD MELBOURNE 99116764870,,512847391,Cash Withdrawal,Cash,1.0
46,2026-06-12,-500.0,TRANSFER DEBIT,Internet Transfer To K MITCHELL 50568623571,,512847391,External Transfers,Transfers,1.0
47,2026-06-12,-28.91,EFTPOS DEBIT,V8213 12/06 NIGHT OWL CONVENIENCE ELSTERNWICK 40006696376,Night Owl Convenience,512847391,Convenience Store,Groceries,0.96
48,2026-06-12,-200.0,ATM DEBIT,ATM WDL CARNEGIE 59489283345,,512847391,Cash Withdrawal,Cash,1.0
49,2026-06-12,-9.99,AUTOMATIC DRAWING,PRIME VIDE* PRIMEVIDEO 91068007818,Prime Primevideo,512847391,Streaming,Subscriptions,1.0
50,2026-06-12,-49.23,MISCELLANEOUS DEBIT,V8213 12/06 UBER *EATS SYDNEY 85560664126,Uber,512847391,Food Delivery,Dining,1.0
51,2026-06-12,-39.94,EFTPOS DEBIT,V8213 12/06 READINGS BOOKS CARLTON 47759979767,,512847391,Books,Entertainment,1.0
52,2026-06-11,-50.02,EFTPOS DEBIT,V8213 11/06 COTTON ON CHADSTONE 95361156639,Cotton On,512847391,Clothing,Shopping,1.0
53,2026-06-11,-48.3,EFTPOS DEBIT,V8213 11/06 PRICELINE PHARMACY CARNEGIE 76489189181,Priceline Pharmacy,512847391,Grooming & Cosmetics,Personal Care,1.0
54,2026-06-10,-38.28,EFTPOS DEBIT,V8213 10/06 BARBER LANE WINDSOR 44634330848,Barber Lane,512847391,Haircuts,Personal Care,1.0
55,2026-06-10,-5.67,EFTPOS DEBIT,V8213 10/06 SEVEN SEEDS COFFEE CARLTON 95123961448,Seven Seeds Coffee,512847391,Cafe & Coffee,Dining,1.0
56,2026-06-09,-9.31,EFTPOS DEBIT,V8213 09/06 SEVEN SEEDS COFFEE CARLTON 62065134984,,512847391,Cafe & Coffee,Dining,1.0
57,2026-06-09,-186.19,EFTPOS DEBIT,V8213 09/06 BUNNINGS WAREHOUSE PORT MELBOURNE 34070788732,Bunnings Warehouse,512847391,Hardware & DIY,Shopping,0.9
58,2026-06-09,-500.0,TRANSFER DEBIT,Internet Transfer To K MITCHELL 48219091177,,512847391,External Transfers,Transfers,1.0
59,2026-06-09,-92.15,AUTOMATIC DRAWING,AGL SALES 57978974956,Agl Sales,512847391,Gas,Utilities,1.0
60,2026-06-08,-50.0,ATM DEBIT,ATM WDL CARNEGIE 64216659748,,512847391,Cash Withdrawal,Cash,1.0
61,2026-06-08,-25.09,EFTPOS DEBIT,V8213 08/06 COLES SUPERMARKET MALVERN EAST 34728923831,Coles Supermarket,512847391,Supermarket,Groceries,1.0
62,2026-06-08,-69.63,EFTPOS DEBIT,V8213 08/06 SHELL COLES EXPRESS HAWTHORN 23975581504,Shell Coles Express,512847391,Fuel,Car,1.0
63,2026-06-07,-67.77,EFTPOS DEBIT,V8213 07/06 READINGS BOOKS CARLTON 91611350994,Readings Books,512847391,Books,Entertainment,1.0
64,2026-06-07,-50.6,EFTPOS DEBIT,V8213 07/06 ALDI STORES OAKLEIGH 43706081552,Aldi Stores,512847391,Supermarket,Groceries,0.97
65,2026-06-07,-77.41,EFTPOS DEBIT,V8213 07/06 SHELL COLES EXPRESS HAWTHORN 26078711486,Shell Coles Express,512847391,Fuel,Car,1.0
66,2026-06-07,-6.69,EFTPOS DEBIT,V8213 07/06 KOORNANG RD MILK BAR CARNEGIE 84125818933,Koornang Rd Milk Bar,512847391,Snacks & Drinks,Dining,1.0
67,2026-06-07,-62.62,EFTPOS DEBIT,V8213 07/06 BUNNINGS WAREHOUSE PORT MELBOURNE 96767665927,Bunnings Warehouse,512847391,Hardware & DIY,Shopping,1.0
68,2026-06-07,-13.99,AUTOMATIC DRAWING,SPOTIFY AUSTRALIA 33494230392,Spotify Australia,512847391,Music,Subscriptions,1.0
69,2026-06-06,-42.56,EFTPOS DEBIT,V8213 06/06 BWS LIQUOR CAULFIELD 29281212142,Bws Liquor,512847391,Liquor Store,Groceries,0.91
70,2026-06-05,-24.95,AUTOMATIC DRAWING,GOODLIFE HEALTH CLUBS 22041425491,Goodlife Health Clubs,512847391,Gym,Fitness,1.0
71,2026-06-05,-21.47,EFTPOS DEBIT,V8213 05/06 THE GRINDER CAFE PRAHRAN 11122574199,The Grinder Cafe,512847391,Cafe & Coffee,Dining,1.0
72,2026-06-04,-78.53,EFTPOS DEBIT,V8213 04/06 COTTON ON CHADSTONE 56289637409,Cotton On,512847391,Clothing,Shopping,1.0
73,2026-06-04,-37.98,MISCELLANEOUS DEBIT,V8213 04/06 DIDI MOBILITY MELBOURNE 48976456991,Didi Mobility,512847391,Taxis & Rideshare,Transport,1.0
74,2026-06-04,-88.88,EFTPOS DEBIT,V8213 04/06 KMART CHADSTONE 50258527557,Kmart,512847391,Department & General,Shopping,1.0
75,2026-06-04,-57.6,EFTPOS DEBIT,V8213 04/06 WOOLWORTHS 1234 CARNEGIE 49767640458,Woolworths,512847391,Supermarket,Groceries,1.0
76,2026-06-03,-37.84,EFTPOS DEBIT,V8213 03/06 HOYTS CINEMAS CHADSTONE 39197480990,Hoyts Cinemas,512847391,Cinema,Entertainment,1.0
77,2026-06-03,-25.99,AUTOMATIC DRAWING,NETFLIX.COM 69191455089,Netflix.com,512847391,Streaming,Subscriptions,1.0
78,2026-06-03,-218.14,EFTPOS DEBIT,V8213 03/06 LORT SMITH VET NORTH MELBOURNE 93033507956,,512847391,Vet,Pets,0.88
79,2026-06-03,-101.44,MISCELLANEOUS DEBIT,V8213 03/06 THE ICONIC SYDNEY 38915306830,The Iconic,512847391,Clothing,Shopping,1.0
80,2026-06-02,-186.17,AUTOMATIC DRAWING,MEDIBANK PRIVATE 16143313645,Medibank Private,512847391,Health Insurance,Insurance,1.0
81,2026-06-01,-2367.41,AUTOMATIC DRAWING,REAL ESTATE TRUST ACCT 52942449471,Real Estate Trust Acct,512847391,Rent,Housing,0.92
82,2026-06-01,-1.85,FEES,INTERNATIONAL TRANSACTION FEE,,512847391,Foreign Transaction Fees,Fees,1.0
83,2026-06-01,-34.79,EFTPOS DEBIT,V8213 01/06 WILSON PARKING MELBOURNE 43763730282,Wilson Parking,512847391,Parking,Car,1.0
84,2026-05-31,-7.27,EFTPOS DEBIT,V8213 31/05 THE GRINDER CAFE PRAHRAN 31333777853,The Grinder Cafe,512847391,Cafe & Coffee,Dining,1.0
85,2026-05-30,-41.04,EFTPOS DEBIT,V8213 30/05 WOOLWORTHS 1234 CARNEGIE 35502731291,Woolworths,512847391,Supermarket,Groceries,1.0
86,2026-05-30,-49.89,EFTPOS DEBIT,V8213 30/05 BARBER LANE WINDSOR 81202918491,Barber Lane,512847391,Haircuts,Personal Care,1.0
87,2026-05-29,-17.03,EFTPOS DEBIT,V8213 29/05 PRICELINE PHARMACY CARNEGIE 76013025597,Priceline Pharmacy,512847391,Grooming & Cosmetics,Personal Care,1.0
88,2026-05-28,-166.4,EFTPOS DEBIT,V8213 28/05 MALVERN MEDICAL CTR MALVERN 87178833934,Malvern Medical Ctr,512847391,Doctor,Health,0.66
89,2026-05-28,-16.01,EFTPOS DEBIT,V8213 28/05 LUNE CROISSANTERIE FITZROY 19115772592,,512847391,Bakery,Groceries,1.0
90,2026-05-28,-39.09,MISCELLANEOUS DEBIT,V8213 28/05 MENULOG SYDNEY 74983695864,Menulog,512847391,Food Delivery,Dining,0.96
91,2026-05-28,-95.3,EFTPOS DEBIT,V8213 28/05 JB HI-FI CHADSTONE 35782752391,Jb Hi-fi,512847391,Electronics,Shopping,1.0
92,2026-05-27,-65.15,EFTPOS DEBIT,V8213 27/05 COTTON ON CHADSTONE 96654039136,Cotton On,512847391,Clothing,Shopping,1.0
93,2026-05-26,-313.43,EFTPOS DEBIT,V8213 26/05 JB HI-FI CHADSTONE 57115124484,Jb Hi-fi,512847391,Electronics,Shopping,1.0
94,2026-05-26,-63.6,MISCELLANEOUS DEBIT,V8213 26/05 MENULOG SYDNEY 35587433039,Menulog,512847391,Food Delivery,Dining,1.0
95,2026-05-26,-46.25,EFTPOS DEBIT,V8213 26/05 BARBER LANE WINDSOR 11205088253,Barber Lane,512847391,Haircuts,Personal Care,1.0
96,2026-05-25,-57.25,MISCELLANEOUS DEBIT,V8213 25/05 MENULOG SYDNEY 32018955046,Menulog,512847391,Food Delivery,Dining,1.0
97,2026-05-25,-100.91,EFTPOS DEBIT,V8213 25/05 WOOLWORTHS 1234 CARNEGIE 71940246118,Woolworths,512847391,Supermarket,Groceries,1.0
98,2026-05-25,-134.75,EFTPOS DEBIT,V8213 25/05 CHIN CHIN MELBOURNE 88654854771,Chin Chin,512847391,Restaurants & Takeaway,Dining,1.0
99,2026-05-24,-12.14,EFTPOS DEBIT,V8213 24/05 LUNE CROISSANTERIE FITZROY 75136424592,Lune Croissanterie,512847391,Bakery,Groceries,1.0
100,2026-05-24,-63.36,EFTPOS DEBIT,V8213 24/05 DAN MURPHYS GLEN IRIS 52519075720,Dan Murphys,512847391,Liquor Store,Groceries,1.0
101,2026-05-24,-147.61,AUTOMATIC DRAWING,ORIGIN ENERGY 39442534724,Origin Energy,512847391,Electricity,Utilities,1.0
102,2026-05-23,-5.07,EFTPOS DEBIT,V8213 23/05 COKE VENDING MACHINE MELBOURNE 52557669682,,512847391,Snacks & Drinks,Dining,1.0
103,2026-05-22,-59.68,EFTPOS DEBIT,V8213 22/05 BP CONNECT CHADSTONE 83191007835,Bp Connect,512847391,Fuel,Car,1.0
104,2026-05-21,-55.32,EFTPOS DEBIT,V8213 21/05 MALVERN MEDICAL CTR MALVERN 71487365110,Malvern Medical Ctr,512847391,Doctor,Health,1.0
105,2026-05-21,-27.82,EFTPOS DEBIT,V8213 21/05 LUNE CROISSANTERIE FITZROY 23636039101,Lune Croissanterie,512847391,Bakery,Groceries,1.0
106,2026-05-21,-400.0,TRANSFER DEBIT,Internet Transfer To K MITCHELL 84594268139,,512847391,External Transfers,Transfers,1.0
107,2026-05-21,-29.99,AUTOMATIC DRAWING,ADOBE CREATIVE CLOUD 79647585247,Adobe Creative Cloud,512847391,Software & Apps,Subscriptions,1.0
108,2026-05-20,-393.95,AUTOMATIC DRAWING,RACV INSURANCE 73950313527,Racv Insurance,512847391,Car Insurance,Car,1.0
109,2026-05-20,-5.14,EFTPOS DEBIT,V8213 20/05 KOORNANG RD MILK BAR CARNEGIE 65715213258,Koornang Rd Milk Bar,512847391,Snacks & Drinks,Dining,0.54
110,2026-05-20,-159.68,EFTPOS DEBIT,V8213 20/05 COLES SUPERMARKET MALVERN EAST 21351836898,Coles Supermarket,512847391,Supermarket,Groceries,1.0
111,2026-05-19,-9.99,EFTPOS DEBIT,V8213 19/05 KOORNANG RD MILK BAR CARNEGIE 48604114875,Koornang Rd Milk Bar,512847391,Snacks & Drinks,Dining,1.0
112,2026-05-18,-16.66,EFTPOS DEBIT,V8213 18/05 WILSON PARKING MELBOURNE 92152678702,,512847391,Parking,Car,1.0
113,2026-05-18,-65.0,AUTOMATIC DRAWING,TELSTRA CORPORATION 57819312029,Telstra Corporation,512847391,Mobile Phone,Utilities,1.0
114,2026-05-18,-134.25,EFTPOS DEBIT,V8213 18/05 UNIQLO AUSTRALIA MELBOURNE 17036033653,Uniqlo Australia,512847391,Clothing,Shopping,1.0
115,2026-05-17,-184.1,EFTPOS DEBIT,V8213 17/05 LORT SMITH VET NORTH MELBOURNE 31919758426,,512847391,Vet,Pets,1.0
116,2026-05-17,-96.74,EFTPOS DEBIT,V8213 17/05 PETSTOCK MOORABBIN 81291667079,Petstock,512847391,Pet Supplies,Pets,1.0
117,2026-05-17,-99.46,EFTPOS DEBIT,V8213 17/05 SHELL COLES EXPRESS HAWTHORN 69884409249,,512847391,Fuel,Car,0.96
118,2026-05-17,-270.75,EFTPOS DEBIT,V8213 17/05 SMILE DENTAL GROUP ARMADALE 16897227006,Smile Dental Group,512847391,Dentist,Health,0.97
119,2026-05-16,-40.99,EFTPOS DEBIT,V8213 16/05 KMART CHADSTONE 57151720148,Kmart,512847391,Department & General,Shopping,1.0
120,2026-05-16,-96.19,EFTPOS DEBIT,V8213 16/05 DAN MURPHYS GLEN IRIS 96453664382,,512847391,Liquor Store,Groceries,1.0
121,2026-05-16,-43.46,EFTPOS DEBIT,V8213 16/05 BARBER LANE WINDSOR 30429860921,Barber Lane,512847391,Haircuts,Personal Care,1.0
122,2026-05-15,-32.5,AUTOMATIC DRAWING,ANTHROPIC CLAUDE.AI 50978558858,Anthropic Claude.ai,512847391,AI Tools,Subscriptions,1.0
123,2026-05-14,-47.17,EFTPOS DEBIT,V8213 14/05 BUNNINGS WAREHOUSE PORT MELBOURNE 37159837511,Bunnings Warehouse,512847391,Hardware & DIY,Shopping,1.0
124,2026-05-13,-34.24,MISCELLANEOUS DEBIT,V8213 13/05 UBER *EATS SYDNEY 64608666014,,512847391,Food Delivery,Dining,1.0
125,2026-05-13,-79.39,EFTPOS DEBIT,V8213 13/05 COTTON ON CHADSTONE 39974990991,,512847391,Clothing,Shopping,0.93
126,2026-05-12,-9.99,AUTOMATIC DRAWING,PRIME VIDE* PRIMEVIDEO 14220150693,Prime Primevideo,512847391,Streaming,Subscriptions,0.9
127,2026-05-12,-14.1,EFTPOS DEBIT,V8213 12/05 NIGHT OWL CONVENIENCE ELSTERNWICK 62323731622,Night Owl Convenience,512847391,Convenience Store,Groceries,1.0
128,2026-05-12,-44.1,EFTPOS DEBIT,V8213 12/05 KMART CHADSTONE 26024641182,Kmart,512847391,Department & General,Shopping,1.0
129,2026-05-11,-48.54,EFTPOS DEBIT,V8213 11/05 READINGS BOOKS CARLTON 37516377408,Readings Books,512847391,Books,Entertainment,0.89
130,2026-05-11,-124.61,EFTPOS DEBIT,V8213 11/05 PETSTOCK MOORABBIN 83109299292,,512847391,Pet Supplies,Pets,0.86
131,2026-05-10,-96.59,EFTPOS DEBIT,V8213 10/05 SHELL COLES EXPRESS HAWTHORN 82608179745,Shell Coles Express,512847391,Fuel,Car,1.0
132,2026-05-09,-92.15,AUTOMATIC DRAWING,AGL SALES 65429972529,Agl Sales,512847391,Gas,Utilities,0.91
133,2026-05-09,-22.51,MISCELLANEOUS DEBIT,V8213 09/05 DIDI MOBILITY MELBOURNE 61017847852,Didi Mobility,512847391,Taxis & Rideshare,Transport,1.0
134,2026-05-09,-95.62,EFTPOS DEBIT,V8213 09/05 LORT SMITH VET NORTH MELBOURNE 22297526489,Lort Smith Vet,512847391,Vet,Pets,1.0
135,2026-05-09,-21.78,EFTPOS DEBIT,V8213 09/05 WOOLWORTHS 1234 CARNEGIE 30874478395,Woolworths,512847391,Supermarket,Groceries,1.0
136,2026-05-08,-59.38,EFTPOS DEBIT,V8213 08/05 MALVERN MEDICAL CTR MALVERN 48143865070,Malvern Medical Ctr,512847391,Doctor,Health,1.0
137,2026-05-08,-133.18,EFTPOS DEBIT,V8213 08/05 WOOLWORTHS 1234 CARNEGIE 94609360580,Woolworths,512847391,Supermarket,Groceries,0.96
138,2026-05-07,-13.13,EFTPOS DEBIT,V8213 07/05 SEVEN SEEDS COFFEE CARLTON 36302634450,Seven Seeds Coffee,512847391,Cafe & Coffee,Dining,1.0
139,2026-05-07,-121.7,EFTPOS DEBIT,V8213 07/05 PETSTOCK MOORABBIN 98707358813,Petstock,512847391,Pet Supplies,Pets,1.0
140,2026-05-07,-13.99,AUTOMATIC DRAWING,SPOTIFY AUSTRALIA 54546821289,Spotify Australia,512847391,Music,Subscriptions,1.0
141,2026-05-07,-70.84,EFTPOS DEBIT,V8213 07/05 CHEMIST WAREHOUSE OAKLEIGH 70765078236,,512847391,Medicine,Health,1.0
142,2026-05-07,-40.11,EFTPOS DEBIT,V8213 07/05 BARBER LANE WINDSOR 30429402967,Barber Lane,512847391,Haircuts,Personal Care,0.92
143,2026-05-06,-123.81,MISCELLANEOUS DEBIT,V8213 06/05 THE ICONIC SYDNEY 99260150683,The Iconic,512847391,Clothing,Shopping,1.0
144,2026-05-06,-35.5,EFTPOS DEBIT,V8213 06/05 WILSON PARKING MELBOURNE 44340678138,Wilson Parking,512847391,Parking,Car,1.0
145,2026-05-05,-358.52,EFTPOS DEBIT,V8213 05/05 SMILE DENTAL GROUP ARMADALE 12978616849,Smile Dental Group,512847391,Dentist,Health,1.0
146,2026-05-05,-5.21,EFTPOS DEBIT,V8213 05/05 THE GRINDER CAFE PRAHRAN 43644618558,The Grinder Cafe,512847391,Cafe & Coffee,Dining,1.0
147,2026-05-05,-24.95,AUTOMATIC DRAWING,GOODLIFE HEALTH CLUBS 62065560490,Goodlife Health Clubs,512847391,Gym,Fitness,1.0
148,2026-05-05,-57.04,EFTPOS DEBIT,V8213 05/05 HOYTS CINEMAS CHADSTONE 48211887707,Hoyts Cinemas,512847391,Cinema,Entertainment,1.0
149,2026-05-04,-70.78,EFTPOS DEBIT,V8213 04/05 ALDI STORES OAKLEIGH 58628821625,Aldi Stores,512847391,Supermarket,Groceries,1.0
150,2026-05-04,-91.6,EFTPOS DEBIT,V8213 04/05 ALDI STORES OAKLEIGH 52425913651,Aldi Stores,512847391,Supermarket,Groceries,1.0
151,2026-05-03,-42.08,MISCELLANEOUS DEBIT,V8213 03/05 DIDI MOBILITY MELBOURNE 27207301015,Didi Mobility,512847391,Taxis & Rideshare,Transport,1.0
152,2026-05-03,-40.56,EFTPOS DEBIT,V8213 03/05 UNIQLO AUSTRALIA MELBOURNE 32859395246,Uniqlo Australia,512847391,Clothing,Shopping,1.0
153,2026-05-03,-9.44,EFTPOS DEBIT,V8213 03/05 LUNE CROISSANTERIE FITZROY 71628960885,Lune Croissanterie,512847391,Bakery,Groceries,1.0
154,2026-05-03,-15.26,EFTPOS DEBIT,V8213 03/05 THE GRINDER CAFE PRAHRAN 55677001775,The Grinder Cafe,512847391,Cafe & Coffee,Dining,1.0
155,2026-05-03,-59.73,EFTPOS DEBIT,V8213 03/05 CHEMIST WAREHOUSE OAKLEIGH 61791187694,Chemist Warehouse,512847391,Medicine,Health,1.0
156,2026-05-03,-25.99,AUTOMATIC DRAWING,NETFLIX.COM 81083712310,Netflix.com,512847391,Streaming,Subscriptions,1.0
157,2026-05-03,-56.89,MISCELLANEOUS DEBIT,V8213 03/05 UBER *EATS SYDNEY 40238695208,Uber,512847391,Food Delivery,Dining,1.0
158,2026-05-02,-192.56,AUTOMATIC DRAWING,MEDIBANK PRIVATE 35144564027,Medibank Private,512847391,Health Insurance,Insurance,1.0
159,2026-05-02,-188.24,EFTPOS DEBIT,V8213 02/05 TONKA RESTAURANT MELBOURNE 99327538162,Tonka Restaurant,512847391,Restaurants & Takeaway,Dining,1.0
160,2026-05-01,-202.19,MISCELLANEOUS DEBIT,V8213 01/05 THE ICONIC SYDNEY 46420655314,The Iconic,512847391,Clothing,Shopping,1.0
161,2026-05-01,-77.89,MISCELLANEOUS DEBIT,V8213 01/05 UBER *EATS SYDNEY 53280334152,,512847391,Food Delivery,Dining,0.87
162,2026-05-01,-5.0,FEES,ACCOUNT SERVICE FEE,,512847391,Account Keeping Fees,Fees,0.87
163,2026-05-01,-2320.53,AUTOMATIC DRAWING,REAL ESTATE TRUST ACCT 12455486785,Real Estate Trust Acct,512847391,Rent,Housing,1.0
164,2026-04-29,-32.71,EFTPOS DEBIT,V8213 29/04 PRICELINE PHARMACY CARNEGIE 61086687296,,512847391,Grooming & Cosmetics,Personal Care,1.0
165,2026-04-29,-12.33,EFTPOS DEBIT,V8213 29/04 SEVEN SEEDS COFFEE CARLTON 50240717076,Seven Seeds Coffee,512847391,Cafe & Coffee,Dining,1.0
166,2026-04-28,-83.2,EFTPOS DEBIT,V8213 28/04 OFFICEWORKS SOUTH MELBOURNE 14574978445,Officeworks,512847391,Office Supplies,Shopping,1.0
167,2026-04-28,-100.0,ATM DEBIT,ATM WDL CBD MELBOURNE 83224367151,,512847391,Cash Withdrawal,Cash,1.0
168,2026-04-27,-120.57,EFTPOS DEBIT,V8213 27/04 MALVERN MEDICAL CTR MALVERN 15091952456,Malvern Medical Ctr,512847391,Doctor,Health,1.0
